Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,13.020000,13.220000,7.660000,7.960000,7.960000,31769600
2019-09-01,7.940000,9.060000,4.010000,4.795000,4.795000,14887500
2019-10-01,4.800000,5.250000,3.050000,3.250000,3.250000,14891500
2019-11-01,3.260000,4.020000,2.420000,2.420000,2.420000,16049500
2019-12-01,2.380000,3.100000,1.880000,3.010000,3.010000,24311700
2020-01-01,3.100000,3.880000,1.170000,1.200000,1.200000,51199100
2020-02-01,1.290000,1.620000,1.100000,1.420000,1.420000,27153800
2020-03-01,1.440000,1.700000,0.510000,0.640000,0.640000,20484500
2020-04-01,0.610000,0.640000,0.451000,0.570000,0.570000,17363800
2020-05-01,0.599000,1.280000,0.370000,0.851000,0.851000,98549800
2020-06-01,0.844000,1.250000,0.750000,0.799000,0.799000,35886400
2020-07-01,0.800000,0.940000,0.560000,0.584000,0.584000,21935400
2020-08-01,0.623000,0.778000,0.280000,0.340000,0.340000,322114900
2020-09-01,0.319000,0.333000,0.165000,0.241000,0.241000,260417600
2020-10-01,0.260000,0.328000,0.138000,0.144000,0.144000,524852800
2020-11-01,0.145000,0.860000,0.145000,0.729000,0.729000,6692518700
2020-12-01,0.912000,0.950000,0.421000,0.474000,0.474000,7548493700
2021-01-01,0.484000,1.360000,0.470000,0.815000,0.815000,10079387900
2021-02-01,1.000000,1.330000,0.902000,1.210000,1.210000,3663014100
