Date,Open,High,Low,Close,Adj Close,Volume
1996-12-01,1.850000,1.850000,1.525000,1.575000,0.817212,25047000
1997-01-01,1.575000,2.550000,1.575000,2.441667,1.266896,33225000
1997-02-01,2.458333,2.666667,2.066667,2.291667,1.189066,20949000
1997-03-01,2.291667,2.358333,2.133333,2.133333,1.106912,6900000
1997-04-01,2.125000,2.333333,1.983333,2.016667,1.046378,8973000
1997-05-01,2.016667,2.283333,1.866667,1.991667,1.033406,44824500
1997-06-01,1.991667,2.533333,1.950000,2.533333,1.314458,23437500
1997-07-01,2.533333,2.566667,2.183333,2.316667,1.202037,16075500
1997-08-01,2.325000,2.620833,2.233333,2.283333,1.184742,19329000
1997-09-01,2.283333,2.783333,2.283333,2.783333,1.444174,18217500
1997-10-01,2.783333,2.991667,2.050000,2.183333,1.132855,28653000
1997-11-01,2.250000,2.358333,1.900000,2.025000,1.050701,19672500
1997-12-01,2.029167,2.500000,1.950000,2.375000,1.232304,21520500
1998-01-01,2.375000,2.383333,1.983333,2.062500,1.070159,26251500
1998-02-01,2.066667,2.708333,1.983333,2.650000,1.374992,17592000
1998-03-01,2.650000,3.008333,2.458333,2.966667,1.539299,25500000
1998-04-01,2.925000,3.695833,2.754167,3.600000,1.867914,42010500
1998-05-01,3.641667,3.962500,2.887500,3.229167,1.675501,37920000
1998-06-01,3.133333,3.733333,2.804167,2.983333,1.547947,41793000
1998-07-01,2.966667,3.416667,2.737500,2.800000,1.452822,39384000
1998-08-01,2.741667,2.770833,0.533333,0.533333,0.276728,87769500
1998-09-01,0.583333,0.700000,0.333333,0.350000,0.181603,79674000
1998-10-01,0.333333,1.025000,0.287500,0.783333,0.406444,103605000
1998-11-01,0.816667,1.450000,0.787500,1.208333,0.626962,60049500
1998-12-01,1.133333,1.566667,0.762500,0.862500,0.447521,88468500
1999-01-01,0.858333,1.108333,0.820833,0.962500,0.499408,40041000
1999-02-01,0.958333,1.129167,0.870833,1.000000,0.518865,25215000
1999-03-01,1.000000,1.258333,0.916667,1.033333,0.536160,30736500
1999-04-01,1.025000,1.158333,0.904167,1.100000,0.570751,30757500
1999-05-01,1.104167,1.633333,1.104167,1.408333,0.730735,54532500
1999-06-01,1.391667,1.683333,1.287500,1.545833,0.802078,24903000
1999-07-01,1.558333,1.591667,1.170833,1.225000,0.635610,25561500
1999-08-01,1.220833,1.245833,0.995833,1.037500,0.538322,14250000
1999-09-01,1.050000,1.095833,0.812500,0.850000,0.441035,17064000
1999-10-01,0.862500,1.208333,0.858333,1.125000,0.583723,17998500
1999-11-01,1.120833,1.462500,0.995833,1.225000,0.635610,31632000
1999-12-01,1.233333,3.058333,1.200000,2.975000,1.543623,81555000
2000-01-01,2.958333,3.000000,2.100000,2.566667,1.331753,76071000
2000-02-01,2.545833,3.308333,2.458333,2.862500,1.485251,42388500
2000-03-01,2.845833,3.545833,2.666667,2.820833,1.463631,56878500
2000-04-01,2.808333,2.808333,2.000000,2.233333,1.158798,36073500
2000-05-01,2.241667,2.266667,1.416667,1.729167,0.897204,34306500
2000-06-01,1.729167,2.016667,1.375000,1.400000,0.726411,43674000
2000-07-01,1.491667,1.787500,1.387500,1.775000,0.920985,67354500
2000-08-01,1.783333,2.233333,1.716667,1.891667,0.981520,52941000
2000-09-01,1.900000,1.991667,1.016667,1.287500,0.668039,74446500
2000-10-01,1.295833,1.345833,1.025000,1.300000,0.674524,49660500
2000-11-01,1.316667,1.325000,0.804167,0.804167,0.417254,19567500
2000-12-01,0.833333,1.125000,0.816667,0.991667,0.514541,34878000
2001-01-01,0.983333,1.262500,0.929167,1.176667,0.610531,23178000
2001-02-01,1.160000,1.286667,1.000000,1.028000,0.533393,18876000
2001-03-01,1.027333,1.261333,0.866000,0.914000,0.474242,17995500
2001-04-01,0.914000,1.060000,0.833333,1.040000,0.539620,27862500
2001-05-01,1.033333,1.200000,0.966000,1.151333,0.597386,25827000
2001-06-01,1.151333,1.260000,1.050000,1.094000,0.567638,31342500
2001-07-01,1.094000,1.096667,0.936667,0.983333,0.510217,22806000
2001-08-01,0.996667,1.316667,0.993333,1.167333,0.605688,36883500
2001-09-01,1.160000,1.220667,1.006667,1.094667,0.567984,26184000
2001-10-01,1.098667,1.366667,1.056667,1.320000,0.684902,63016500
2001-11-01,1.333333,1.880000,1.314000,1.706667,0.885530,150939000
2001-12-01,1.720000,1.906667,1.487333,1.736667,0.901096,82770000
2002-01-01,1.736667,2.083333,1.723333,2.060000,1.068862,84391500
2002-02-01,2.000000,2.040000,1.686667,1.972667,1.023548,63174000
2002-03-01,1.983333,2.316667,1.966667,2.145333,1.113138,68442000
2002-04-01,2.136667,2.183333,1.573333,1.580000,0.819807,115119000
2002-05-01,1.586667,1.946667,1.484000,1.912667,0.992416,124998000
2002-06-01,1.966667,1.973333,1.540000,1.697333,0.880687,53427000
2002-07-01,1.698000,1.820000,1.374667,1.534000,0.795939,56583000
2002-08-01,1.534000,1.833333,1.424667,1.570000,0.814618,61410000
2002-09-01,1.553333,1.732667,1.516667,1.579333,0.819461,54598500
2002-10-01,1.579333,1.910000,1.576667,1.880000,0.975466,57042000
2002-11-01,1.873333,2.413333,1.846667,2.334667,1.211377,99006000
2002-12-01,2.400000,2.426667,2.038667,2.134000,1.107258,82114500
2003-01-01,2.146667,2.532000,2.000000,2.124000,1.102069,85339500
2003-02-01,2.132000,2.532000,2.058000,2.490667,1.292320,62973000
2003-03-01,2.526667,2.656667,2.256667,2.300000,1.193389,103509000
2003-04-01,2.316667,2.786667,2.316667,2.657333,1.378797,101134500
2003-05-01,2.670000,3.086667,2.598667,3.000000,1.556595,72625500
2003-06-01,3.006667,3.200000,2.768000,3.096000,1.606406,68487000
2003-07-01,3.096000,3.272667,2.603333,2.984667,1.548639,119056500
2003-08-01,2.990000,3.693333,2.900667,3.594000,1.864801,95430000
2003-09-01,3.666667,4.229333,3.533333,4.057333,2.105208,96235500
2003-10-01,4.074000,4.683333,4.053333,4.340000,2.251874,175803000
2003-11-01,4.353333,4.633333,3.883333,4.632000,2.403383,129484500
2003-12-01,4.648667,4.910000,4.166667,4.900000,2.542439,95886000
2004-01-01,4.946667,5.342667,4.592667,5.026000,2.607816,166911000
2004-02-01,4.916667,5.778667,4.633333,5.659333,2.936430,161578500
2004-03-01,5.750000,7.003333,5.668667,6.932667,3.597118,164533500
2004-04-01,6.866667,7.280667,5.866667,5.984000,3.104888,142636500
2004-05-01,6.000667,6.753333,5.444667,6.150000,3.191020,154789500
2004-06-01,6.026667,6.548000,5.933333,6.430000,3.336302,97030500
2004-07-01,6.430000,6.430000,5.320000,5.830000,3.024984,143143500
2004-08-01,5.800000,6.582667,5.450000,6.540000,3.393376,146103000
2004-09-01,6.540000,7.370667,6.503333,7.253333,3.763500,125607000
2004-10-01,7.333333,7.790000,6.953333,7.600000,3.943373,113338500
2004-11-01,7.583333,8.580000,7.568000,7.788000,4.040921,107230000
2004-12-01,7.690000,8.250000,5.000000,7.228000,3.750356,371386500
2005-01-01,7.200000,7.278000,6.492000,7.240000,3.756582,120178500
2005-02-01,7.290000,8.030000,7.160000,8.020000,4.161298,89124000
2005-03-01,7.990000,7.990000,6.760000,6.884000,3.571866,80973000
2005-04-01,6.980000,7.552000,6.468000,6.544000,3.395452,87629000
2005-05-01,6.580000,7.470000,6.340000,7.408000,3.843751,123162000
2005-06-01,7.408000,7.430000,6.562000,6.806000,3.531396,104006000
2005-07-01,6.880000,7.862000,6.872000,7.676000,3.982807,66028500
2005-08-01,7.660000,8.380000,7.570000,8.246000,4.278560,80122500
2005-09-01,8.254000,9.234000,8.240000,8.888000,4.611671,102397500
2005-10-01,8.920000,8.970000,7.504000,8.000000,4.150919,75466000
2005-11-01,8.030000,9.188000,7.968000,9.066000,4.704029,74861000
2005-12-01,9.140000,9.522000,8.510000,8.846000,4.589880,53875500
2006-01-01,8.848000,10.200000,8.830000,9.360000,4.856575,75019500
2006-02-01,9.396000,9.504000,8.620000,8.800000,4.566012,65883000
2006-03-01,8.822000,9.276000,8.326000,8.602000,4.463276,113682500
2006-04-01,8.644000,9.548000,8.504000,9.310000,4.830633,71313000
2006-05-01,9.318000,10.220000,7.500000,8.372000,4.343938,145029500
2006-06-01,8.586000,9.648000,7.900000,9.164000,4.754878,169004500
2006-07-01,9.290000,9.754000,8.564000,9.640000,5.001859,71684000
2006-08-01,9.630000,11.020000,9.372000,10.864000,5.636949,103814500
2006-09-01,11.020000,12.702000,11.020000,12.118000,6.287604,142735000
2006-10-01,12.218000,13.406000,11.672000,13.198000,6.847980,68278500
2006-11-01,13.180000,15.466000,12.660000,15.218000,7.896087,70446500
2006-12-01,15.400000,16.544001,14.740000,15.790000,8.192877,87756000
2007-01-01,16.180000,17.500000,14.600000,17.086000,8.865325,75809000
2007-02-01,17.370001,18.108000,15.400000,16.091999,8.349574,74926000
2007-03-01,16.000000,19.834000,15.074000,18.968000,9.841829,178573000
2007-04-01,19.040001,20.600000,18.274000,19.351999,10.041074,94933000
2007-05-01,19.306000,21.195999,19.250000,20.562000,10.668901,105313500
2007-06-01,20.563999,22.480000,18.900000,21.072001,11.104493,67268500
2007-07-01,21.209999,23.716000,19.700001,21.180000,11.161406,72024500
2007-08-01,21.101999,25.549999,18.016001,24.400000,12.858275,82859000
2007-09-01,24.309999,29.000000,23.950001,27.040001,14.249502,56031100
2007-10-01,27.010000,35.000000,26.180000,33.070000,17.427181,68426600
2007-11-01,31.940001,36.340000,28.600000,33.599998,17.706476,81844900
2007-12-01,34.000000,45.480000,32.750000,41.599998,21.922308,72513000
2008-01-01,42.570000,44.389999,28.990000,34.400002,18.128063,95158600
2008-02-01,35.060001,39.000000,31.379999,34.730000,18.301964,62531700
2008-03-01,34.500000,36.099998,28.510000,29.889999,15.751389,74409400
2008-04-01,30.260000,33.480000,28.879999,30.160000,15.893671,68482300
2008-05-01,30.490000,36.490002,29.650000,35.270000,18.959131,73244700
2008-06-01,35.360001,35.950001,29.030001,29.680000,15.954266,60477400
2008-07-01,29.059999,29.200001,23.590000,25.230000,13.562201,90467800
2008-08-01,25.129999,25.930000,21.660000,24.030001,12.917152,74437800
2008-09-01,24.820000,25.500000,16.840000,20.299999,10.912114,122571500
2008-10-01,20.930000,21.299999,6.390000,14.500000,7.794368,212853700
2008-11-01,14.310000,19.160000,6.750000,9.500000,5.106655,157821300
2008-12-01,8.500000,9.770000,6.890000,7.160000,3.848806,142401600
2009-01-01,7.400000,9.490000,5.860000,6.090000,3.273635,103728300
2009-02-01,6.000000,7.150000,4.950000,5.240000,2.816724,155138800
2009-03-01,5.190000,7.470000,4.810000,6.540000,3.515529,188228200
2009-04-01,6.680000,10.860000,6.430000,9.420000,5.063651,136677400
2009-05-01,9.120000,13.940000,9.120000,13.060000,7.020308,127848300
2009-06-01,13.450000,14.170000,9.780000,11.770000,6.326876,136657400
2009-07-01,11.920000,13.640000,9.630000,13.510000,7.262201,101229400
2009-08-01,13.950000,16.000000,13.080000,15.440000,8.299657,70104500
2009-09-01,15.570000,19.340000,14.510000,18.700001,10.052049,106643400
2009-10-01,18.620001,21.049999,16.129999,17.930000,9.638140,121185000
2009-11-01,18.240000,22.549999,17.809999,19.090000,10.261689,65228100
2009-12-01,19.500000,20.299999,17.500000,18.590000,10.162642,56337800
2010-01-01,18.969999,21.299999,18.020000,18.139999,9.916639,50302600
2010-02-01,18.330000,20.110001,16.280001,18.549999,10.140775,56279500
2010-03-01,18.600000,20.379999,16.700001,18.410000,10.064241,162684000
2010-04-01,18.639999,19.280001,15.820000,17.420000,9.523037,116175000
2010-05-01,17.490000,17.860001,12.320000,15.550000,8.500757,77365200
2010-06-01,15.320000,17.440001,14.500000,16.180000,8.845160,47488100
2010-07-01,15.930000,16.950001,15.190000,16.309999,8.916227,41374600
2010-08-01,16.559999,17.840000,14.080000,14.950000,8.172755,62204900
2010-09-01,15.250000,15.340000,14.100000,14.850000,8.118088,58367300
2010-10-01,14.880000,15.390000,13.850000,15.330000,8.380489,81392600
2010-11-01,15.380000,16.379999,15.100000,15.670000,8.566359,74095500
2010-12-01,15.670000,15.790000,14.140000,15.040000,8.475277,68924600
2011-01-01,15.090000,15.760000,13.200000,13.840000,7.799059,75338300
2011-02-01,13.980000,14.690000,13.660000,14.120000,7.956842,51960500
2011-03-01,14.120000,14.900000,13.530000,14.120000,7.956842,63327300
2011-04-01,14.210000,14.620000,14.040000,14.570000,8.321061,35108500
2011-05-01,14.460000,14.740000,13.600000,14.080000,8.041217,41336300
2011-06-01,13.980000,14.320000,12.540000,12.760000,7.367493,67766900
2011-07-01,12.860000,13.310000,11.750000,12.400000,7.159632,70303300
2011-08-01,12.590000,12.630000,9.990000,11.430000,6.599564,91161300
2011-09-01,11.550000,11.660000,9.320000,9.530000,5.502523,72938400
2011-10-01,9.570000,11.830000,8.830000,10.980000,6.339738,66760300
2011-11-01,10.670000,11.920000,10.230000,11.920000,6.882485,58472200
2011-12-01,11.950000,12.150000,9.270000,9.470000,5.686014,50817200
2012-01-01,9.750000,10.850000,9.500000,10.660000,6.400518,30449000
2012-02-01,10.900000,12.550000,10.690000,12.170000,7.307158,34433400
2012-03-01,12.240000,12.320000,10.390000,11.160000,6.700731,63424800
2012-04-01,11.360000,11.510000,9.800000,10.190000,6.118319,32835400
2012-05-01,10.210000,10.360000,7.050000,7.370000,4.425124,50965800
2012-06-01,7.350000,8.250000,7.100000,8.110000,4.869438,33651800
2012-07-01,8.210000,8.830000,7.620000,8.390000,5.037557,35572300
2012-08-01,8.400000,10.890000,8.400000,10.630000,6.382506,49169800
2012-09-01,10.600000,12.070000,10.490000,11.900000,7.145044,45078100
2012-10-01,11.840000,12.400000,10.560000,11.020000,6.616671,31621700
2012-11-01,11.120000,11.400000,9.900000,10.580000,6.352485,27903700
2012-12-01,10.570000,11.500000,10.190000,10.490000,6.298447,23121000
2013-01-01,10.720000,12.290000,10.500000,12.010000,7.785109,29226100
2013-02-01,12.110000,12.600000,11.550000,11.940000,7.739733,21142300
2013-03-01,11.810000,12.820000,11.400000,11.890000,7.707321,26432500
2013-04-01,11.860000,12.600000,10.910000,10.950000,7.097996,41660300
2013-05-01,10.990000,11.380000,9.810000,9.950000,7.111590,28181700
2013-06-01,9.910000,10.580000,9.560000,10.060000,7.190212,23759000
2013-07-01,10.150000,10.640000,9.750000,10.010000,7.154476,18458700
2013-08-01,10.070000,11.200000,9.780000,10.730000,7.669082,21609400
2013-09-01,10.800000,11.760000,10.670000,11.750000,8.398110,23555000
2013-10-01,11.810000,14.560000,11.710000,14.390000,10.285004,116696700
2013-11-01,14.710000,14.740000,11.980000,12.280000,8.776917,46182000
2013-12-01,12.130000,13.000000,11.730000,12.940000,9.585091,35358500
2014-01-01,12.870000,12.900000,9.500000,9.690000,7.177707,57852100
2014-02-01,9.560000,10.420000,9.360000,10.160000,7.525853,38170000
2014-03-01,9.330000,9.980000,8.290000,9.030000,6.688823,58737500
2014-04-01,9.100000,9.730000,7.860000,8.400000,6.222161,61095700
2014-05-01,8.390000,8.580000,7.530000,8.370000,6.199940,70110700
2014-06-01,8.350000,9.200000,8.190000,8.400000,6.222161,57034800
2014-07-01,8.400000,9.000000,8.020000,8.340000,6.177718,48855000
2014-08-01,8.360000,8.920000,7.870000,8.520000,6.311050,34611200
2014-09-01,8.480000,9.140000,7.050000,7.220000,5.348095,59313000
